M1_Troop_Cnt,Loss_1,Loss_2,M2_Troop_Cnt,Loss_1,Loss_2
100000,534,534,100000,538,538
98932,531,531,98924,535,535
97870,528,528,97854,533,533
96814,525,525,96788,530,530
95764,522,522,95728,527,527
94720,519,519,94674,524,524
93682,516,516,93626,521,521
92650,514,514,92584,518,518
91622,511,511,91548,515,515
90600,508,508,90518,512,512
89584,505,505,89494,509,509
88574,502,502,88476,507,507
87570,499,499,87462,504,504
86572,496,496,86454,501,501
85580,493,493,85452,498,498
84594,491,491,84456,495,495
83612,488,488,83466,492,492
82636,485,485,82482,489,489
81666,482,482,81504,486,486
80702,479,479,80532,484,484
79744,476,476,79564,481,481
78792,473,473,78602,478,478
77846,470,470,77646,475,475
76906,467,467,76696,472,472
75972,465,465,75752,469,469
75042,462,462,74814,466,466
74118,459,459,73882,463,463
73200,456,456,72956,461,461
72288,453,453,72034,458,458
71382,450,450,71118,455,455
70482,447,447,70208,452,452
69588,444,444,69304,449,449
68700,441,441,68406,446,446
67818,439,439,67514,443,443
66940,436,436,66628,440,440
66068,433,433,65748,438,438
65202,430,430,64872,435,435
64342,427,427,64002,432,432
63488,424,424,63138,429,429
62640,421,421,62280,426,426
61798,418,418,61428,423,423
60962,416,416,60582,420,420
60130,413,413,59742,417,417
59304,410,410,58908,415,415
58484,407,407,58078,412,412
57670,404,404,57254,409,409
56862,401,401,56436,406,406
56060,398,398,55624,403,403
55264,395,395,54818,400,400
54474,392,392,54018,397,397
53690,389,389,53224,395,395
52912,387,387,52434,392,392
52138,384,384,51650,389,389
51370,381,381,50872,386,386
50608,378,378,50100,383,383
49852,375,375,49334,380,380
49102,372,372,48574,377,377
48358,369,369,47820,374,374
47620,366,366,47072,372,372
46888,363,363,46328,369,369
46162,361,361,45590,366,366
45440,358,358,44858,363,363
44724,355,355,44132,360,360
44014,352,352,43412,357,357
43310,349,349,42698,354,354
42612,346,346,41990,352,352
41920,343,343,41286,349,349
41234,340,340,40588,346,346
40554,337,337,39896,343,343
39880,334,334,39210,340,340
39212,331,331,38530,337,337
38550,329,329,37856,334,334
37892,326,326,37188,332,332
37240,323,323,36524,329,329
36594,320,320,35866,326,326
35954,317,317,35214,323,323
35320,314,314,34568,320,320
34692,311,311,33928,317,317
34070,308,308,33294,314,314
33454,305,305,32666,312,312
32844,302,302,32042,309,309
32240,299,299,31424,306,306
31642,296,296,30812,303,303
31050,294,294,30206,300,300
30462,291,291,29606,297,297
29880,288,288,29012,294,294
29304,285,285,28424,292,292
28734,282,282,27840,289,289
28170,279,279,27262,286,286
27612,276,276,26690,283,283
27060,273,273,26124,280,280
26514,270,270,25564,277,277
25974,267,267,25010,275,275
25440,264,264,24460,272,272
24912,261,261,23916,269,269
24390,258,258,23378,266,266
23874,255,255,22846,263,263
23364,252,252,22320,260,260
22860,249,249,21800,258,258
22362,246,246,21284,255,255
21870,244,244,20774,252,252
21382,241,241,20270,249,249
20900,238,238,19772,246,246
20424,235,235,19280,244,244
19954,232,232,18792,241,241
19490,229,229,18310,238,238
19032,226,226,17834,235,235
18580,223,223,17364,232,232
18134,220,220,16900,229,229
17694,217,217,16442,227,227
17260,214,214,15988,224,224
16832,211,211,15540,221,221
16410,208,208,15098,218,218
15994,205,205,14662,216,216
15584,202,202,14230,213,213
15180,199,199,13804,210,210
14782,196,196,13384,207,207
14390,193,193,12970,204,204
14004,189,189,12562,202,202
13626,186,186,12158,199,199
13254,183,183,11760,196,196
12888,180,180,11368,194,194
12528,177,177,10980,191,191
12174,174,174,10598,188,188
11826,171,171,10222,185,185
11484,168,168,9852,183,183
11148,165,165,9486,180,180
10818,162,162,9126,177,177
10494,158,158,8772,175,175
10178,155,155,8422,172,172
9868,152,152,8078,169,169
9564,149,149,7740,167,167
9266,146,146,7406,164,164
8974,142,142,7078,162,162
8690,139,139,6754,159,159
8412,136,136,6436,156,156
8140,132,132,6124,154,154
7876,129,129,5816,151,151
7618,126,126,5514,149,149
7366,122,122,5216,146,146
7122,119,119,4924,144,144
6884,115,115,4636,142,142
6654,112,112,4352,139,139
6430,108,108,4074,137,137
6214,104,104,3800,135,135
6006,101,101,3530,132,132
5804,97,97,3266,130,130
5610,93,93,3006,128,128
5424,89,89,2750,126,126
5246,85,85,2498,124,124
5076,80,80,2250,122,122
4916,76,76,2006,120,120
4764,71,71,1766,118,118
4622,66,66,1530,116,116
4490,61,61,1298,114,114
4368,56,56,1070,113,113
4256,49,49,844,111,111
4158,43,43,622,110,110
4072,34,34,402,109,109
4004,23,23,184,108,108
