M1_Troop_Cnt,Loss_1,Loss_2,Skill_Loss,Turn_Rage,Tot_Rage,M2_Troop_Cnt,Loss_1,Loss_2,Skill_Loss,Turn_Rage,Tot_Rage
100000,619,619,0,102,102,100000,624,624,0,122,122
98762,615,615,0,102,204,98752,620,620,0,122,244
97532,611,611,0,102,306,97512,617,617,0,122,366
96310,607,607,0,102,408,96278,613,613,0,122,488
95096,604,604,0,102,510,95052,609,609,0,122,610
93888,600,600,0,102,612,93834,605,605,0,122,732
92688,596,596,0,102,714,92624,601,601,0,122,854
91496,592,592,0,102,816,91422,597,597,0,122,976
90312,588,588,206,102,918,90228,593,593,0,122,20
88930,584,584,0,102,0,89042,589,589,177,122,142
87762,580,580,0,102,102,87687,585,585,0,122,264
86602,576,576,0,102,204,86517,581,581,0,122,386
85450,572,572,0,102,306,85355,577,577,0,122,508
84306,568,568,0,102,408,84201,573,573,0,122,630
83170,564,564,0,102,510,83055,569,569,0,122,752
82042,560,560,0,102,612,81917,566,566,0,122,874
80922,556,556,0,102,714,80785,562,562,0,122,996
79810,553,553,194,102,816,79661,558,558,0,122,20
78510,549,549,0,102,918,78545,553,553,0,122,142
77412,545,545,0,102,0,77439,549,549,165,122,264
76322,540,540,0,102,102,76176,545,545,0,122,386
75242,536,536,0,102,204,75086,542,542,0,122,508
74170,533,533,0,102,306,74002,538,538,0,122,630
73104,529,529,0,102,408,72926,534,534,0,122,752
72046,525,525,0,102,510,71858,530,530,0,122,874
70996,521,521,0,102,612,70798,526,526,0,122,996
69954,517,517,181,102,714,69746,522,522,0,122,20
68739,513,513,0,102,816,68702,518,518,0,122,142
67713,509,509,0,102,918,67666,514,514,0,122,264
66695,505,505,0,102,0,66638,510,510,153,122,386
65685,501,501,0,102,102,65465,506,506,0,122,508
64683,497,497,0,102,204,64453,502,502,0,122,630
63689,493,493,0,102,306,63449,498,498,0,122,752
62703,489,489,0,102,408,62453,494,494,0,122,874
61725,485,485,0,102,510,61465,491,491,0,122,996
60755,482,482,169,102,612,60483,487,487,0,122,20
59622,478,478,0,102,714,59509,482,482,0,122,142
58666,474,474,0,102,816,58545,478,478,0,122,264
57718,470,470,0,102,918,57589,474,474,0,122,386
56778,466,466,0,102,0,56641,471,471,142,122,508
55846,462,462,0,102,102,55557,467,467,0,122,630
54922,458,458,0,102,204,54623,463,463,0,122,752
54006,454,454,0,102,306,53697,459,459,0,122,874
53098,450,450,0,102,408,52779,455,455,0,122,996
52198,446,446,157,102,510,51869,451,451,0,122,20
51149,442,442,0,102,612,50967,447,447,0,122,142
50265,438,438,0,102,714,50073,443,443,0,122,264
49389,434,434,0,102,816,49187,439,439,0,122,386
48521,430,430,0,102,918,48309,435,435,0,122,508
