M1_Troop_Cnt,Loss_1,Loss_2,Skill_Loss,Turn_Rage,M2_Troop_Cnt,Loss_1,Loss_2,Skill_Loss,Turn_Rage
100000,534,534,0,0,100000,538,538,0,122
98932,531,531,0,0,98924,535,535,0,122
97870,528,528,0,0,97854,533,533,0,122
96814,525,525,0,0,96788,530,530,0,122
95764,522,522,0,0,95728,527,527,0,122
94720,519,519,0,0,94674,524,524,0,122
93682,516,516,0,0,93626,521,521,0,122
92650,514,514,0,0,92584,518,518,0,122
91622,511,511,0,0,91548,515,515,0,122
90600,508,508,0,0,90518,512,512,154,122
89584,504,504,0,0,89340,509,509,153,122
88576,501,501,0,0,88169,507,507,153,122
87574,498,498,0,0,87002,504,504,152,122
86578,495,495,0,0,85842,501,501,151,122
85588,491,491,0,0,84689,498,498,150,122
84606,488,488,0,0,83543,495,495,149,122
83630,485,485,0,0,82404,492,492,148,122
82660,481,481,0,0,81272,489,489,147,122
81698,478,478,0,0,80147,487,487,147,122
80742,474,474,0,0,79026,484,484,146,122
79794,471,471,0,0,77912,481,481,145,122
78852,468,468,0,0,76805,478,478,144,122
77916,464,464,0,0,75705,475,475,143,122
76988,461,461,0,0,74612,472,472,142,122
76066,458,458,0,0,73526,470,470,141,122
75150,454,454,0,0,72445,467,467,141,122
74242,451,451,0,0,71370,464,464,140,122
73340,448,448,0,0,70302,461,461,139,122
72444,444,444,0,0,69241,458,458,138,122
71556,441,441,0,0,68187,455,455,137,122
70674,437,437,0,0,67140,453,453,136,122
69800,434,434,0,0,66098,450,450,135,122
68932,431,431,0,0,65063,447,447,135,122
68070,427,427,0,0,64034,444,444,134,122
67216,424,424,0,0,63012,441,441,133,122
66368,420,420,0,0,61997,439,439,132,122
65528,417,417,0,0,60987,436,436,131,122
64694,413,413,0,0,59984,433,433,130,122
63868,410,410,0,0,58988,430,430,129,122
63048,407,407,0,0,57999,427,427,129,122
62234,403,403,0,0,57016,425,425,128,122
61428,400,400,0,0,56038,422,422,127,122
60628,396,396,0,0,55067,419,419,126,122
59836,393,393,0,0,54103,416,416,125,122
59050,389,389,0,0,53146,414,414,125,122
58272,386,386,0,0,52193,411,411,124,122
57500,382,382,0,0,51247,408,408,123,122
56736,379,379,0,0,50308,406,406,122,122
55978,375,375,0,0,49374,403,403,121,122
55228,372,372,0,0,48447,400,400,120,122
54484,368,368,0,0,47527,397,397,120,122
53748,365,365,0,0,46613,395,395,119,122
53018,361,361,0,0,45704,392,392,118,122
52296,357,357,0,0,44802,389,389,117,122
51582,354,354,0,0,43907,387,387,117,122
50874,350,350,0,0,43016,384,384,116,122
50174,347,347,0,0,42132,381,381,115,122
49480,343,343,0,0,41255,379,379,114,122
48794,339,339,0,0,40383,376,376,113,122
48116,336,336,0,0,39518,374,374,113,122
47444,332,332,0,0,38657,371,371,112,122
46780,328,328,0,0,37803,368,368,111,122
46124,325,325,0,0,36956,366,366,110,122
45474,321,321,0,0,36114,363,363,109,122
44832,317,317,0,0,35279,361,361,109,122
44198,313,313,0,0,34448,358,358,108,122
43572,310,310,0,0,33624,355,355,107,122
42952,306,306,0,0,32807,353,353,106,122
42340,302,302,0,0,31995,350,350,105,122
41736,298,298,0,0,31190,348,348,105,122
41140,294,294,0,0,30389,345,345,104,122
40552,291,291,0,0,29595,343,343,103,122
39970,287,287,0,0,28806,340,340,102,122
39396,283,283,0,0,28024,338,338,102,122
38830,279,279,0,0,27246,336,336,101,122
38272,275,275,0,0,26473,333,333,100,122
37722,271,271,0,0,25707,331,331,100,122
37180,267,267,0,0,24945,328,328,99,122
36646,263,263,0,0,24190,326,326,98,122
36120,259,259,0,0,23440,324,324,98,122
35602,255,255,0,0,22694,321,321,97,122
35092,250,250,0,0,21955,319,319,96,122
34592,246,246,0,0,21221,317,317,96,122
34100,242,242,0,0,20491,315,315,95,122
33616,238,238,0,0,19766,312,312,94,122
33140,233,233,0,0,19048,310,310,93,122
32674,229,229,0,0,18335,308,308,93,122
32216,224,224,0,0,17626,306,306,92,122
31768,220,220,0,0,16922,304,304,92,122
31328,215,215,0,0,16222,301,301,91,122
30898,211,211,0,0,15529,299,299,90,122
30476,206,206,0,0,14841,297,297,90,122
30064,201,201,0,0,14157,295,295,89,122
29662,196,196,0,0,13478,293,293,88,122
29270,191,191,0,0,12804,291,291,88,122
28888,186,186,0,0,12134,290,290,87,122
28516,181,181,0,0,11467,288,288,87,122
28154,176,176,0,0,10804,286,286,86,122
27802,170,170,0,0,10146,284,284,86,122
27462,165,165,0,0,9492,282,282,85,122
27132,159,159,0,0,8843,281,281,85,122
26814,153,153,0,0,8196,279,279,84,122
26508,147,147,0,0,7554,277,277,84,122
26214,141,141,0,0,6916,276,276,83,122
25932,134,134,0,0,6281,274,274,83,122
25664,127,127,0,0,5650,273,273,82,122
25410,120,120,0,0,5022,272,272,82,122
25170,112,112,0,0,4396,270,270,81,122
24946,104,104,0,0,3775,269,269,81,122
24738,95,95,0,0,3156,268,268,81,122
24548,85,85,0,0,2539,267,267,81,122
24378,74,74,0,0,1924,266,266,80,122
24230,62,62,0,0,1312,265,265,80,122
24106,45,45,0,0,702,265,265,80,122
24016,17,17,0,0,92,264,264,80,122
