M1_Troop_Cnt,Loss_1,Loss_2,Skill_Loss,Turn_Rage,Tot_Rage,M2_Troop_Cnt,Loss_1,Loss_2,Skill_Loss,Turn_Rage,Tot_Rage
100000,620,620,0,102,102,100000,625,625,0,122,122
98760,614,614,0,102,204,98750,619,619,0,122,244
97532,609,609,0,102,306,97512,613,613,0,122,366
96314,603,603,0,102,408,96286,608,608,0,122,488
95108,598,598,0,102,510,95070,602,602,0,122,610
93912,592,592,0,102,612,93866,597,597,0,122,732
92728,587,587,0,102,714,92672,591,591,0,122,854
91554,581,581,0,102,816,91490,586,586,0,122,976
90392,576,576,173,102,918,90318,580,580,0,122,20
89067,570,570,0,102,0,89158,574,574,173,122,142
87927,564,564,0,102,102,87837,569,569,0,122,264
86799,559,559,0,102,204,86699,563,563,0,122,386
85681,553,553,0,102,306,85573,558,558,0,122,508
84575,548,548,0,102,408,84457,553,553,0,122,630
83479,543,543,0,102,510,83351,548,548,0,122,752
82393,537,537,0,102,612,82255,542,542,0,122,874
81319,532,532,0,102,714,81171,537,537,0,122,996
80255,527,527,159,102,816,80097,532,532,0,122,20
79042,522,522,0,102,918,79033,526,526,0,122,142
77998,517,517,0,102,0,77981,521,521,157,122,264
76964,511,511,0,102,102,76782,516,516,0,122,386
75942,506,506,0,102,204,75750,511,511,0,122,508
74930,501,501,0,102,306,74728,506,506,0,122,630
73928,496,496,0,102,408,73716,501,501,0,122,752
72936,491,491,0,102,510,72714,496,496,0,122,874
71954,486,486,0,102,612,71722,491,491,0,122,996
70982,481,481,145,102,714,70740,486,486,0,122,20
69875,476,476,0,102,816,69768,480,480,0,122,142
68923,471,471,0,102,918,68808,476,476,0,122,264
67981,466,466,0,102,0,67856,471,471,142,122,386
67049,461,461,0,102,102,66772,466,466,0,122,508
66127,456,456,0,102,204,65840,461,461,0,122,630
65215,451,451,0,102,306,64918,456,456,0,122,752
64313,447,447,0,102,408,64006,452,452,0,122,874
63419,442,442,0,102,510,63102,447,447,0,122,996
62535,437,437,132,102,612,62208,442,442,0,122,20
61529,433,433,0,102,714,61324,437,437,0,122,142
60663,428,428,0,102,816,60450,433,433,0,122,264
59807,423,423,0,102,918,59584,428,428,0,122,386
58961,419,419,0,102,0,58728,423,423,127,122,508
58123,414,414,0,102,102,57755,419,419,0,122,630
57295,409,409,0,102,204,56917,415,415,0,122,752
56477,405,405,0,102,306,56087,410,410,0,122,874
55667,400,400,0,102,408,55267,406,406,0,122,996
54867,396,396,119,102,510,54455,401,401,0,122,20
53956,391,391,0,102,612,53653,396,396,0,122,142
53174,387,387,0,102,714,52861,392,392,0,122,264
52400,383,383,0,102,816,52077,388,388,0,122,386
