GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rokcc,shrunken.rokcc.sim.troop,TroopType,54,0,0,0,1,0,1,0,1,0
rokcc,shrunken.rokcc.sim.troop,Troop,27,0,0,0,10,0,5,0,5,0
rokcc,shrunken.rokcc.sim,Battle,606,0,26,0,67,0,15,0,2,0
rokcc,shrunken.rokcc.sim,Test,78,0,0,0,7,0,2,0,2,0
rokcc,shrunken.rokcc.sim,App,48,0,0,0,7,0,2,0,2,0
rokcc,shrunken.rokcc.sim,Commander,264,0,36,0,60,0,42,0,24,0
rokcc,shrunken.rokcc.sim,March,415,0,0,0,70,0,24,0,24,0
rokcc,shrunken.rokcc.sim.buff,Buff,221,0,42,0,53,0,37,0,16,0
rokcc,shrunken.rokcc.sim.buff,BuffSet,149,0,12,0,31,0,15,0,9,0
rokcc,shrunken.rokcc.sim.buff,TemporaryBuff,40,0,0,0,13,0,7,0,7,0
rokcc,shrunken.rokcc.sim.buff,SkillComponent,65,0,0,0,19,0,7,0,7,0
rokcc,shrunken.rokcc.sim.buff,BuffType,164,0,0,0,5,0,1,0,1,0
